Type,Name,URL,CRC,Size
DIRECTORY,Matra Hachette Alice 32 - Games - [WAV],,,
FILE,Matra Hachette Alice 32 - Games - [WAV] (TOSEC-v2014-04-11_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 32/Games/[WAV]/Matra Hachette Alice 32 - Games - [WAV]/Matra Hachette Alice 32 - Games - [WAV] (TOSEC-v2014-04-11_CM).dat,4194493546,1760
DIRECTORY,[K7],,,
DIRECTORY,Matra Hachette Alice 32 - Games - [K7],,,
FILE,Matra Hachette Alice 32 - Games - [K7] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 32/Games/[K7]/Matra Hachette Alice 32 - Games - [K7]/Matra Hachette Alice 32 - Games - [K7] (TOSEC-v2018-03-08_CM).dat,799509709,6378
DIRECTORY,Compilations,,,
DIRECTORY,Games,,,
DIRECTORY,Matra Hachette Alice 32 - Compilations - Games,,,
FILE,Matra Hachette Alice 32 - Compilations - Games (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 32/Compilations/Games/Matra Hachette Alice 32 - Compilations - Games/Matra Hachette Alice 32 - Compilations - Games (TOSEC-v2018-03-08_CM).dat,380581685,4463
DIRECTORY,Tsukuda Original,,,
DIRECTORY,Othello Multivision,,,
DIRECTORY,Firmware,,,
DIRECTORY,Tsukuda Original Othello Multivision - Firmware,,,
FILE,Tsukuda Original Othello Multivision - Firmware (TOSEC-v2011-06-20_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Tsukuda Original/Othello Multivision/Firmware/Tsukuda Original Othello Multivision - Firmware/Tsukuda Original Othello Multivision - Firmware (TOSEC-v2011-06-20_CM).dat,1649047923,986
DIRECTORY,Games,,,
DIRECTORY,Tsukuda Original Othello Multivision - Games,,,
FILE,Tsukuda Original Othello Multivision - Games (TOSEC-v2021-02-12_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Tsukuda Original/Othello Multivision/Games/Tsukuda Original Othello Multivision - Games/Tsukuda Original Othello Multivision - Games (TOSEC-v2021-02-12_CM).dat,3032646135,5000
DIRECTORY,8-Bit Productions,,,
DIRECTORY,Commander X16,,,
DIRECTORY,Games,,,
DIRECTORY,8-Bit Productions Commander X16 - Games,,,
FILE,8-Bit Productions Commander X16 - Games (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/8-Bit Productions/Commander X16/Games/8-Bit Productions Commander X16 - Games/8-Bit Productions Commander X16 - Games (TOSEC-v2021-07-25_CM).dat,306796441,1177
DIRECTORY,Luxor,,,
DIRECTORY,ABC 1600,,,
DIRECTORY,Operating Systems,,,
DIRECTORY,Luxor ABC 1600 - Operating Systems,,,
FILE,Luxor ABC 1600 - Operating Systems (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 1600/Operating Systems/Luxor ABC 1600 - Operating Systems/Luxor ABC 1600 - Operating Systems (TOSEC-v2018-03-08_CM).dat,1288603421,8536
DIRECTORY,Video Entertainment System,,,
DIRECTORY,Firmware,,,
DIRECTORY,Luxor Video Entertainment System - Firmware,,,
FILE,Luxor Video Entertainment System - Firmware (TOSEC-v2014-04-10_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/Video Entertainment System/Firmware/Luxor Video Entertainment System - Firmware/Luxor Video Entertainment System - Firmware (TOSEC-v2014-04-10_CM).dat,977501479,938
DIRECTORY,Games,,,
DIRECTORY,Luxor Video Entertainment System - Games,,,
FILE,Luxor Video Entertainment System - Games (TOSEC-v2014-04-11_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/Video Entertainment System/Games/Luxor Video Entertainment System - Games/Luxor Video Entertainment System - Games (TOSEC-v2014-04-11_CM).dat,1029900849,830
DIRECTORY,ABC 800,,,
DIRECTORY,Educational,,,
DIRECTORY,[TD0],,,
DIRECTORY,Luxor ABC 800 - Educational - [TD0],,,
FILE,Luxor ABC 800 - Educational - [TD0] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Educational/[TD0]/Luxor ABC 800 - Educational - [TD0]/Luxor ABC 800 - Educational - [TD0] (TOSEC-v2018-03-08_CM).dat,3554179024,806
DIRECTORY,[RAW],,,
DIRECTORY,Luxor ABC 800 - Educational - [RAW],,,
FILE,Luxor ABC 800 - Educational - [RAW] (TOSEC-v2022-12-21_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Educational/[RAW]/Luxor ABC 800 - Educational - [RAW]/Luxor ABC 800 - Educational - [RAW] (TOSEC-v2022-12-21_CM).dat,4151607150,76977
DIRECTORY,Operating Systems,,,
DIRECTORY,[TD0],,,
DIRECTORY,Luxor ABC 800 - Operating Systems - [TD0],,,
FILE,Luxor ABC 800 - Operating Systems - [TD0] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Operating Systems/[TD0]/Luxor ABC 800 - Operating Systems - [TD0]/Luxor ABC 800 - Operating Systems - [TD0] (TOSEC-v2018-03-08_CM).dat,118366423,1882
DIRECTORY,Demos,,,
DIRECTORY,[BAS],,,
DIRECTORY,Luxor ABC 800 - Demos - [BAS],,,
FILE,Luxor ABC 800 - Demos - [BAS] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Demos/[BAS]/Luxor ABC 800 - Demos - [BAS]/Luxor ABC 800 - Demos - [BAS] (TOSEC-v2011-02-22_CM).dat,1834959298,1195
DIRECTORY,[TD0],,,
DIRECTORY,Luxor ABC 800 - Demos - [TD0],,,
FILE,Luxor ABC 800 - Demos - [TD0] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Demos/[TD0]/Luxor ABC 800 - Demos - [TD0]/Luxor ABC 800 - Demos - [TD0] (TOSEC-v2018-03-08_CM).dat,3801485032,860
DIRECTORY,Applications,,,
DIRECTORY,[BAC],,,
DIRECTORY,Luxor ABC 800 - Applications - [BAC],,,
FILE,Luxor ABC 800 - Applications - [BAC] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Applications/[BAC]/Luxor ABC 800 - Applications - [BAC]/Luxor ABC 800 - Applications - [BAC] (TOSEC-v2011-02-22_CM).dat,3337236012,2520
DIRECTORY,[BAS],,,
DIRECTORY,Luxor ABC 800 - Applications - [BAS],,,
FILE,Luxor ABC 800 - Applications - [BAS] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Applications/[BAS]/Luxor ABC 800 - Applications - [BAS]/Luxor ABC 800 - Applications - [BAS] (TOSEC-v2011-02-22_CM).dat,1527790175,7851
DIRECTORY,[ARK],,,
DIRECTORY,Luxor ABC 800 - Applications - [ARK],,,
FILE,Luxor ABC 800 - Applications - [ARK] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Applications/[ARK]/Luxor ABC 800 - Applications - [ARK]/Luxor ABC 800 - Applications - [ARK] (TOSEC-v2011-02-22_CM).dat,3405320678,849
DIRECTORY,[TD0],,,
DIRECTORY,Luxor ABC 800 - Applications - [TD0],,,
FILE,Luxor ABC 800 - Applications - [TD0] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Applications/[TD0]/Luxor ABC 800 - Applications - [TD0]/Luxor ABC 800 - Applications - [TD0] (TOSEC-v2018-03-08_CM).dat,1890651375,3531
DIRECTORY,[ASM],,,
DIRECTORY,Luxor ABC 800 - Applications - [ASM],,,
FILE,Luxor ABC 800 - Applications - [ASM] (TOSEC-v2011-02-22_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Applications/[ASM]/Luxor ABC 800 - Applications - [ASM]/Luxor ABC 800 - Applications - [ASM] (TOSEC-v2011-02-22_CM).dat,1945191171,12621
DIRECTORY,Games,,,
DIRECTORY,[BAS],,,
DIRECTORY,Luxor ABC 800 - Games - [BAS],,,
FILE,Luxor ABC 800 - Games - [BAS] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Games/[BAS]/Luxor ABC 800 - Games - [BAS]/Luxor ABC 800 - Games - [BAS] (TOSEC-v2021-07-25_CM).dat,2035347869,1593
DIRECTORY,[IHX],,,
DIRECTORY,Luxor ABC 800 - Games - [IHX],,,
FILE,Luxor ABC 800 - Games - [IHX] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Games/[IHX]/Luxor ABC 800 - Games - [IHX]/Luxor ABC 800 - Games - [IHX] (TOSEC-v2021-07-25_CM).dat,2690962215,875
DIRECTORY,[DSK],,,
DIRECTORY,Luxor ABC 800 - Games - [DSK],,,
FILE,Luxor ABC 800 - Games - [DSK] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Games/[DSK]/Luxor ABC 800 - Games - [DSK]/Luxor ABC 800 - Games - [DSK] (TOSEC-v2021-07-25_CM).dat,2277296876,876
DIRECTORY,[BIN],,,
DIRECTORY,Luxor ABC 800 - Games - [BIN],,,
FILE,Luxor ABC 800 - Games - [BIN] (TOSEC-v2021-07-25_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 800/Games/[BIN]/Luxor ABC 800 - Games - [BIN]/Luxor ABC 800 - Games - [BIN] (TOSEC-v2021-07-25_CM).dat,2744140588,845
DIRECTORY,ABC 80,,,
DIRECTORY,System,,,
DIRECTORY,[IMG],,,
DIRECTORY,Luxor ABC 80 - System - [IMG],,,
FILE,Luxor ABC 80 - System - [IMG] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/System/[IMG]/Luxor ABC 80 - System - [IMG]/Luxor ABC 80 - System - [IMG] (TOSEC-v2018-03-08_CM).dat,3189287244,1118
DIRECTORY,[TD0],,,
DIRECTORY,Luxor ABC 80 - System - [TD0],,,
FILE,Luxor ABC 80 - System - [TD0] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/System/[TD0]/Luxor ABC 80 - System - [TD0]/Luxor ABC 80 - System - [TD0] (TOSEC-v2018-03-08_CM).dat,202271614,821
DIRECTORY,Demos,,,
DIRECTORY,[WAV],,,
DIRECTORY,Luxor ABC 80 - Demos - [WAV],,,
FILE,Luxor ABC 80 - Demos - [WAV] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Demos/[WAV]/Luxor ABC 80 - Demos - [WAV]/Luxor ABC 80 - Demos - [WAV] (TOSEC-v2018-03-08_CM).dat,838765984,813
DIRECTORY,[TD0],,,
DIRECTORY,Luxor ABC 80 - Demos - [TD0],,,
FILE,Luxor ABC 80 - Demos - [TD0] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Luxor/ABC 80/Demos/[TD0]/Luxor ABC 80 - Demos - [TD0]/Luxor ABC 80 - Demos - [TD0] (TOSEC-v2018-03-08_CM).dat,3563582279,810
DIRECTORY,[DSK],,,
DIRECTORY,Luxor ABC 80 - Demos - [DSK],,,
